Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_10,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q16,Q2,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q7_10,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8,Q27,age_tab,asian,black,LA,natam,other,white,region,region_coarse,RZIP,RZIP4,SD,SEX,URBANICITY,w1,AD,AGE,CD,CNTY,CompletionDate,F12,F13,F14,F15,F16,F17,F18,F19,F20,ID,lang,latlang,likely,party_reg,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q25,Q26,Q48_6,Q29_argentina,Q29_bolivia,Q29_chile,Q29_colombia,Q29_costa_rica,Q29_cuba,Q29_ecuador,Q29_el_salvador,Q29_guatemala,Q29_honduras,Q29_mexico,Q29_nicaragua,Q29_others,Q29_panama,Q29_paraguay,Q29_peru,Q29_puerto_rico,Q29_uruguay,Q29_venezuela,Q30,Q31_bangladesh,Q31_bhutan,Q31_burma,Q31_cambodia,Q31_china,Q31_guam,Q31_hawaii,Q31_hmong,Q31_india,Q31_indonesia,Q31_japan,Q31_korea,Q31_laos,Q31_malaysia,Q31_nepal,Q31_others,Q31_pakistan,Q31_philippines,Q31_samoa,Q31_sri_lanka,Q31_taiwan,Q31_thailand,Q31_vietnam,Q32,Q33a,Q33b,Q33c,Q33d,Q34,Q35,Q36,Q37
5,5,4,2,3,2,3,3,2,3,2,1,3,1,3, , , , , , , , , , , , , , , , ,1,2, , ,0, , ,1,6,5,91702,3813,22,2,3,7.40055489071046013e-01,48,33,31,19,1,3,3,3,3,3,3,3,3,3, 7719,1, ,2,4,1,4,2,4,4,33,1,5,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,4, , ,2,5,2,3,3
5,1,2,5,1,3,1,3,3,1,1,3,2,3,2, , , , , , , , , , , , , , , , ,5,2, , ,1, , ,1,6,5,90019,5925,28,2,3,2.04351110980791006e-01,55,35,37,19,1,2,2,2,2,1,1,1,1,1, 6909,1, ,1,1,4,2,4,2,4,35,1,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,1,2,2,5
5,3,1,3,1,1,2,2,3,1,2,3,2,3,1, , , , , , , , , , , , , , , , ,4,4, , ,1, , , ,6,5,90038,4013,26,2,3,8.17393732949495022e-01,51,51,30,19,1,1,3,2,2,2,3,3,3,1,11130,1,2,1,1,4,2,4,2,5,51,1,8,1,1,1, , , , , , ,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3, , ,1,3,2,2,7
 , , , , , , , , , , , , , , ,1,5,1,1,5,1,3,1,1,3,1,3,3,2,3,2,3,4, ,1,0, , , ,3,3,95758,5908, 8,2,3,1.52942201196130001e+00,10,50, 7,34,1,2,3,2,1,2,1,2,2,2, 7801,1, ,1,1,4,1,5,5,5,51,1,5, , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,1,1,2,5
5,2,5,5,2,3,2,4,3,1,3,3,2,4,3, , , , , , , , , , , , , , , , ,4,1,1, ,0, , , ,8,7,92626,6213,37,1,3,4.77079611757293021e-01,73,29,47,30,1,3,1,2,3,3,1,1,1,1, 6808,1, ,2,1,4,2,5,5,5,29,2,8, , ,1, , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1, , ,2,2,2,5
5,1,2,5,1,3,3,3,3,2,3,3,2,2,1, , , , , , , , , , , , , , , , ,3,2, , ,0, , ,1,6,5,90232,2899,28,2,3,3.47004712970798046e-01,55,37,37,19,1,2,1,1,1,3,1,1,1,1, 9263,1, ,1,1,4,1,3,2,3,37,1,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,2, , ,1,1,2,7
 , , , , , , , , , , , , , , ,1,5,1,2,4,1,3,1,3,2,1,1,3,2,3,1,5,3,1, ,0, , , ,1,1,95409,4368, 2,2,2,6.68915943245204092e-01, 2,45, 4,49,1,2,1,2,2,2,1,1,1,1, 8650,1, ,1,1,4,2,5,5,5,46,1,7, , ,1, , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1, , ,3,2,2,6
 , , , , , , , , , , , , , , ,1,5,5,4,2,3,4,3,2,2,2,3,2,2,1,2,2,5, , ,0, , ,1,9,8,92026,8210,40,2,2,6.98018138327093030e-01,75,69,50,37,1,3,3,3,3,3,1,1,1,3, 9426,1, ,1,4,2,4,2,5,5,69,1,5,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,1, ,1,2,1,6
4,2,4,2,3,1,3,2,2,3,3,1,2,1,3, , , , , , , , , , , , , , , , ,2,5, , ,0, , ,1,6,5,90275,5212,24,2,2,1.06502611781343992e+00,66,66,36,19,1,3,3,2,3,1,1,1,3,3, 1515,1, ,1,4,1,4,1,5,5,66,1,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,1, ,1,2,2,4
4,3,4,2,3,3,3,1,2,3,3,3,3,1,2, , , , , , , , , , , , , , , , ,2,3, , ,0, , ,1,7,6,95531,8820, 2,2,1,7.73722133932288059e-01, 2,44, 2, 8,1,1,1,1,1,1,1,1,1,1,11746,1, ,1,4,3,4,3,4,4,45,1,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,2, ,5,2,2,5
2,2,5,5,3,3,2,4,3,2,3,3,2,2,3, , , , , , , , , , , , , , , , ,3,3, ,1,1, , , ,6,5,90057,2451,26,1,3,3.66810763145407004e-01,54,44,34,19,1,1,1,1,1,1,1,1,1,1, 2065,1, ,1,1,5,3,2,2,2,45,2,7, , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,2, , ,5,2,2,4
2,1,2,5,1,3,1,2,3,1,1,3,2,3,3, , , , , , , , , , , , , , , , ,5,3, , ,1, , ,1,6,5,90018,4142,28,1,3,4.53484007660679034e-01,55,42,37,19,1,3,1,1,1,3,3,1,1,1, 1645,1, ,2,1,4,1,4,3,4,43,2,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,3, , ,1,1,2,1,7
1,3,3,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,1,1, , ,0, ,1, ,6,5,90044,2028,35,1,3,9.96946665542810112e-02,61,24,43,19,1,2,2,2,1,1,1,2,2,2, 3941,1, ,1,2,3,2,3,3,3,24,2,8, , , , , , ,1, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,1,1,2,5
5,5,5,5,4,3,3,4,2,4,4,3,2,1,3, , , , , , , , , , , , , , , , ,3,1, , ,0, , , ,6,5,91740,4622,25,2,2,2.95054557043793020e+00,48,26,31,19,1,1,1,2,3,2,3,2,2,2,13336,1,2,1,3,4,4,1,2,2,26,1,7, ,1, , , , , , , ,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,3, , ,3,2,2,2,5
2,1,2,5,1,3,1,3,2,1,1,3,2,3,1, , , , , , , , , , , , , , , , ,4,2, , ,0, , ,1,1,1,94960,1920, 2,1,2,5.67053381898765085e-01,12,35, 2,21,1,2,2,2,3,1,1,1,1,1, 5641,1, ,2,2,4,3,4,4,2,34,2,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,4, , ,1,5,2,2,5
2,5,5,2,3,1,2,4,2,1,1,3,4,2,1, , , , , , , , , , , , , , , , ,3,1, ,1,0, , , ,1,1,94121,3272,11,1,3,1.40305309817922996e+00,19,24,11,38,1,2,2,2,2,2,2,2,2,2,14963,1, ,2,2,4,2,2,2,2,24,2,3, , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,3, , ,1,5,2,2,1
2,1,1,3,1,1,1,1,3,1,4,1,1,2,1, , , , , , , , , , , , , , , , ,5,5, , ,0, , ,1,8,7,92629,3101,36,1,3,7.71745179158053074e-01,74,71,49,30,1,1,1,1,1,1,1,1,1,1, 5515,1, ,1,1,4,1,4,5,4,71,2,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,1,2,1,4
1,1,1,5,1,3,1,3,3,1,1,3,2,2,1, , , , , , , , , , , , , , , , ,5,5, , ,0, , ,1,1,1,94709,1434, 7,1,3,8.41226593713871096e-01,14,72,12, 1,1,1,1,1,1,1,1,1,1,1, 5381,1, ,1,1,4,1,4,2,4,72,2,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,1,2,1,5
5,5,5,5,1,3,2,2,3,1,1,3,1,2,1, , , , , , , , , , , , , , , , ,3,2, , ,0, , ,1,1,1,94043,1906,13,2,2,3.98927061591212051e-01,23,32,16,43,1,2,1,2,1,2,1,1,2,1, 2929,1, ,1,2,4,2,3,5,5,32,1,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,2, , ,3,2,2,5
2,3,4,4,3,3,1,3,2,1,1,3,1,2,1, , , , , , , , , , , , , , , , ,3,2, ,1,1, , , ,6,5,90020,3288,26,2,3,4.18388949381305053e-01,54,32,34,19,1,2,2,2,3,1,1,3,3,1, 3964,1, ,2,1,4,4,4,4,4,32,1,7, , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,3, , ,1,2,2,2,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, , ,0, , ,1,1,1,94121,3613,11,2,3,3.24732803986162000e-01,19,25,11,38,1,2,2,2,2,2,1,2,2,2, 1908,1, ,2,3,3,4,3,5,5,25,1,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,4, , ,2,5,2,3,2
2,5,1,2,1,3,2,3,2,1,1,3,2,3,1, , , , , , , , , , , , , , , , ,4,3,1, ,0, , , ,6,5,91030,2706,25,2,3,1.22274903027375004e+00,49,40,28,19,1,2,2,2,2,2,3,1,3,1,12666,1, ,1,1,4,1,3,2,3,41,1,7, , ,1, , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2, , ,1,2,2,5
4,4,2,3,3,1,1,1,1,1,1,2,1,2,3, , , , , , , , , , , , , , , , ,2,1,1, ,0, , , ,5,4,92881,6621,32,2,2,1.42771460936674011e+00,63,28,41,33,1,2,2,2,2,2,1,2,1,1, 9525,1, ,1,2,4,4,1,2,5,28,1,8, , ,1, , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4, , ,3,1,2,1,6
5,5,5,5,4,4,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , ,3,4,1, ,0, , , ,8,7,92618,1155,37,1,1,4.07995525504045986e+00,73,54,47,30,1,2,2,2,2,2,2,2,2,2, 1485,1, ,2,2,5,5,5,5,5,54,2,8, , ,1, , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,4, , ,3,3,2,2,3
 , , , , , , , , , , , , , , ,2,4,4,4,5,3,1,3,3,3,3,3,1,1,1,3,1,2, , ,0, , , ,5,4,92584,8468,32,1,2,9.96946665542810112e-02,63,35,41,33,1,2,2,1,1,1,1,1,2,1, 2161,1,1,1,4,1,4,2,5,5,35,2,8, ,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,4, , ,3,1,2,1,7
5,1,2,4,1,4,2,3,3,1,2,2,2,2,1, , , , , , , , , , , , , , , , ,4,2, , ,0, , , ,9,8,92054,2489,38,2,2,4.94207425521872024e-01,74,31,49,37,1,2,1,2,3,1,1,1,1,1, 6003,1,2,1,2,4,2,4,2,4,32,1,7,1,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,3, , ,3,2,2,2,4
1,3,5,5,1,3,1,3,3,1,1,3,1,3,1, , , , , , , , , , , , , , , , ,4,1, , ,0, , , ,8,7,92612,3203,37,2,2,7.01551779839777012e-01,73,21,47,30,1,2,2,2,2,2,2,2,2,2, 5431,1,1,2,1,4,3,4,4,4,21,1,3, ,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,5,2,3,1
5,5,5,5,3,3,4,4,4,1,1,1,2,1,2, , , , , , , , , , , , , , , , ,2,2, , ,0, , , ,4,3,93727,3347,14,1,3,4.38893359880910960e+00,31,30,21,10,1,2,3,2,2,2,3,2,1,2,14308,1,1,2,4,1,4,5,5,5,30,2,5, ,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,1, ,5,2,1,4
5,5,5,5,1,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , ,4,1, , ,0, , ,1,1,1,94037,9865,13,2,1,1.44467284061135015e-01,23,23,16,41,1,2,2,2,1,2,1,1,1,1, 9838,1, ,1,1,4,2,5,5,5,23,1,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,2, , ,5,2,2,2
