Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_10,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q16,Q2,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q7_10,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8,Q27,age_tab,asian,black,LA,natam,other,white,region,region_coarse,RZIP,RZIP4,SD,SEX,URBANICITY,w1,AD,AGE,CD,CNTY,CompletionDate,F12,F13,F14,F15,F16,F17,F18,F19,F20,ID,lang,latlang,likely,party_reg,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q25,Q26,Q48_6,Q29_argentina,Q29_bolivia,Q29_chile,Q29_colombia,Q29_costa_rica,Q29_cuba,Q29_ecuador,Q29_el_salvador,Q29_guatemala,Q29_honduras,Q29_mexico,Q29_nicaragua,Q29_others,Q29_panama,Q29_paraguay,Q29_peru,Q29_puerto_rico,Q29_uruguay,Q29_venezuela,Q30,Q31_bangladesh,Q31_bhutan,Q31_burma,Q31_cambodia,Q31_china,Q31_guam,Q31_hawaii,Q31_hmong,Q31_india,Q31_indonesia,Q31_japan,Q31_korea,Q31_laos,Q31_malaysia,Q31_nepal,Q31_others,Q31_pakistan,Q31_philippines,Q31_samoa,Q31_sri_lanka,Q31_taiwan,Q31_thailand,Q31_vietnam,Q32,Q33a,Q33b,Q33c,Q33d,Q34,Q35,Q36,Q37
 , , , , , , , , , , , , , , ,2,2,1,1,4,1,1,1,2,3,1,1,1,1,2,1,5,6, , ,0, , ,1,8,7,92672,4369,36,1,2,1.24726919740545994e+00,74,76,49,30,1,1,1,1,1,1,1,1,1,1,  434,1, ,1,1,4,1,4,5,5,76,2,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,1,2,1,4
 , , , , , , , , , , , , , , ,1,2,2,1,5,1,3,2,2,3,1,4,3,1,3,1,5,6, , ,0, , ,1,3,3,96065,9610, 1,1,1,4.40825080471812014e-01, 1,75, 1,45,1,3,3,1,1,3,1,1,1,1, 8077,1, ,1,1,4,1,4,2,5,76,2,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,1,2,1,4
 , , , , , , , , , , , , , , ,1,2,1,3,4,1,1,1,3,3,1,2,3,3,3,1,5,1, , ,0, , ,1,1,1,95688,8580, 3,2,2,9.96946665542810112e-02,11,27, 4,48,1,2,2,2,2,1,1,1,1,1, 2880,1, ,1,1,4,1,3,5,2,27,1,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,5,1,3,5
5,4,4,1,4,3,3,3,4,3,3,1,2,1,3, , , , , , , , , , , , , , , , ,2,4, , ,0, , ,1,4,3,93311,2237,12,2,3,3.77295254017447990e+00,32,53,20,15,1,2,2,2,2,2,3,2,2,2,  275,1, ,2,4,1,4,1,3,5,53,1,3,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,1, ,1,1,1,7
4,4,4,2,3,3,3,3,1,3,1,3,3,1,2, , , , , , , , , , , , , , , , ,3,3, , ,0, , ,1,9,8,92054,2493,38,2,2,9.39897526845762110e-01,74,49,49,37,1,1,1,2,2,2,1,1,1,1,11969,1, ,1,2,1,4,1,1,1,49,1,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,3, , ,3,2,2,1,5
 , , , , , , , , , , , , , , ,1,5,3,4,1,1,3,2,2,1,1,3,1,2,1,2,1,6, , ,0, , ,1,8,7,92688,2533,38,2,2,8.17912712348507043e-01,71,75,40,30,1,1,1,1,1,1,1,1,1,1,13799,1, ,1,4,1,4,5,5,5,75,1,5,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,1, ,4,2,1,3
5,1,1,4,1,1,1,2,4,1,1,3,2,4,1, , , , , , , , , , , , , , , , ,5,5, , ,0, , ,1,8,7,92627,1888,37,1,3,7.71745179158053074e-01,73,72,47,30,1,3,1,3,1,1,1,1,1,1,14164,1, ,1,1,4,1,4,4,5,72,2,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,3,2,2,6
3,4,4,1,3,2,3,3,3,3,3,3,3,1,1, , , , , , , , , , , , , , , , ,3,6, , ,0, , ,1,8,7,92692,1190,38,1,2,1.51408244424804006e+00,71,81,40,30,1,1,1,1,1,3,3,3,1,3,10473,1, ,1,4,2,4,2,5,5,79,2,6,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,2, ,1,2,1,4
5,2,2,4,1,1,2,3,3,1,2,3,2,4,1, , , , , , , , , , , , , , , , ,3,4, , ,0, ,1, ,8,7,92679,1601,37,1,2,6.78657599786117061e-01,72,52,40,30,1,2,1,1,1,1,1,1,1,1, 3794,1, ,1,1,4,1,4,4,4,51,2,7, , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,1,2,1,7
 , , , , , , , , , , , , , , ,1,3,4,3,2,2,3,4,1,3,3,3,3,3,2,2,2,5, , ,0, , ,1,3,3,95762,4436, 4,2,2,6.97237302549356008e-01, 5,71, 5, 9,1,3,3,3,3,1,1,1,1,1, 9652,1, ,1,4,4,4,2,5,5,71,1,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,2, ,1,2,1,6
1,5,1,5,1,3,1,2,3,1,3,3,1,3,1, , , , , , , , , , , , , , , , ,5,2, , ,1, , ,1,6,5,90028,4810,24,1,3,1.82862864032644001e+00,51,32,30,19,1,2,2,2,2,2,2,2,2,2, 4239,1, ,2,1,4,2,2,5,2,32,2,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,1,2,2,6
5,1,2,5,1,3,1,3,3,1,1,3,2,3,2, , , , , , , , , , , , , , , , ,4,2, , ,0, , , ,9,8,91941,5408,39,1,2,9.96946665542810112e-02,79,39,51,37,1,1,1,2,1,2,1,1,1,1,11454,1,1,1,4,4,1,4,5,5,39,2,7,1,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,1,2,1, 
1,1,1,3,1,3,2,2,3,1,2,3,1,3,1, , , , , , , , , , , , , , , , ,5,5, , ,0, , ,1,3,3,95819,4144, 8,1,3,3.56737706409872013e-01, 6,73, 7,34,1,3,3,1,2,1,1,1,1,1,12715,1, ,1,1,4,1,4,2,5,73,2,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,3,2,1,7
5,5, ,5,4,4, , ,3,4,4,1, ,1,3, , , , , , , , , , , , , , , , ,2,4, , ,0, , , ,5,4,91786,3883,29,2,3,4.13370087350484028e-01,53,62,35,36,1,2,3,2,3,2,3,2,3,3,  843,1,1,2,4,1, , , , ,  ,1,6, ,1, , , , , , , ,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1, ,1,1,3,5
5,4,4,1,3,3,3,3,3,2,3,1,3,1,2, , , , , , , , , , , , , , , , ,2,4, , ,0, , ,1,3,3,95762,6612, 4,2,2,5.34924359376045988e-01, 5,52, 5, 9,1,2,2,2,1,1,1,1,1,1, 8277,1, ,1,4,1,4,2,5,5,52,1,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,1, ,1,2,1,4
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , ,0, ,1, ,1,1,94025,3321,13,2,3,6.53180247476333076e-01,23,25,16,41,1,2,2,2,1,2,2,1,2,2, 3756,1, ,2,2,4,4,2,5,5,25,1,3, , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,3, , ,3,5,2,2,2
 , , , , , , , , , , , , , , ,2,2,5,2,3,1,3,2,2,3,3,3,3,1,3,2,3,5, , ,0, , ,1,2,2,95018,9468,17,1,1,4.09129135947668032e-01,28,71,19,44,1,3,3,3,3,3,1,1,1,1, 2414,1, ,1,2,4,1,4,5,5,71,2,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,3, , ,1,1,2,1,4
 , , , , , , , , , , , , , , ,2,3,2,2,4,1,3,2,3,3,1,1,3,2,2,2,4,5,1, ,0, , , ,4,3,95350,6517, 4,2,3,1.68184138524723004e+00,22,68, 5,50,1,1,1,1,1,1,1,1,1,1, 9781,1, ,1,1,4,2,4,2,3,69,1,7, , ,1, , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1, , ,3,2,2,3
 , , , , , , , , , , , , , , ,1,1,2,5,5,1,3,1,3,3,1,1,3,1,3,2,5,2, , ,1, , ,1,6,5,90019,2550,28,1,3,1.30262151096316003e-01,55,37,37,19,1,1,1,1,1,1,1,1,1,1, 7120,1, ,1,1,4,3,4,2,5,37,2,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,1,1,1,7
5,5,4,5,3,2,3,1,3,3,3,1,3,1,1, , , , , , , , , , , , , , , , ,1,4, , ,0, , ,1,7,6,96130,8526, 1,2,1,3.43460159793736008e-01, 1,57, 1,18,1,2,3,1,1,2,1,1,2,1,11893,1, ,1,4,1,4,4,5,4,57,1,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,1, ,1,1,1,7
5,5,5,5,2,1,1,1,3,1,1,1,2,1,1, , , , , , , , , , , , , , , , ,4,1, , ,0, , , ,5,4,92878,4247,31,1,2,1.28255290004741007e-01,58,23,41,33,1,2,2,2,1,1,1,1,1,1,11743,1,2,1,1,4,4,3,2,5,23,2,7, ,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,4, , ,3,5,2,2,2
2,1,1,4,1,3,1,3,3,1,2,3,1,3,1, , , , , , , , , , , , , , , , ,5,2, , ,1, , , ,6,5,91406,3119,20,2,3,3.41953022430993014e-01,46,37,29,19,1,3,3,3,3,3,1,1,1,1,  756,1,1,1,1,4,1,4,5,3,37,1,8, ,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,1,2,1,7
 , , , , , , , , , , , , , , ,1,2,2,2,5,1,1,1,3,2,1,1,3,1,2,2,4,5, , ,0, , ,1,2,2,93444,5649,21,1,1,1.03704672465016001e+00,37,74,24,40,1,2,2,2,2,1,1,1,1,1,12253,1, ,1,1,4,1,4,5,2,74,2,6,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,3, , ,1,1,2,1,5
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2, , ,0, , , ,5,4,92571,7443,31,2, ,3.39577921356934986e+00,60,32,39,33,1,2,1,2,2,2,1,2,2,2,  339,1,1,2,1,4,1,4,5,5,32,1,3, ,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,2, , ,5,2,3,4
2,2,2,4,1,1,3,3,3,1,1,4,1,1,2, , , , , , , , , , , , , , , , ,3,4, ,1,0, , , ,3,3,95747,4113, 6,1,1,4.87862495417621056e-01, 5,58, 3,31,1,1,1,1,1,1,1,1,1,1, 8372,1, ,1,1,4,3,5,4,5,58,2,7, , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,2, , ,1,1,1,7
1,4,4,4,1,1,1,1,3,1,1,1,1,1,1, , , , , , , , , , , , , , , , ,5,1, , ,0, , , ,6,5,91706,3622,22,1,3,5.86816600960485957e+00,48,21,31,19,1,2,2,2,2,2,1,2,2,2, 2304,1,1,2,2,4,2,4,2,2,21,2,6, ,1, , , , , , , ,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,5,1,1,5
5,5,4,1,4,4,4,1,2,4,4,1,2,1,2, , , , , , , , , , , , , , , , ,1,5, , ,0, , ,1,5,4,92592,8411,32,2,1,1.03496538969987006e+00,71,72,48,33,1,1,1,1,1,1,1,1,1,1,10003,1, ,1,4,1,4,2,5,5,72,1,6,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,1, ,1,2,1,5
 ,2,1,4,1,3,1,2,4,1,3,3,1,2,2, , , , , , , , , , , , , , , , ,3,5, , ,0, , ,1,8,7,92677,2717,37,1,2,7.48917999999996087e-01,74,66,49,30,1,1,1,1,1,1,1,1,1,1, 3677,1, ,1,1,4,1,4,4,2,67,2,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,3, , ,1,1,2,1,6
4,3,4,1,3,1,3,2,2,3,3,2,3,1,2, , , , , , , , , , , , , , , , ,2,3, , ,0, , ,1,9,8,92056,1831,38,2,2,4.81640797790204023e-01,74,43,49,37,1,1,3,1,1,1,1,1,2,1, 5122,1, ,1,4,1,4,2,5,5,43,1,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,3, , ,2,5,2,2,7
1,1,2,4,1,3,2,3,4,1,2,3,1,3,1, , , , , , , , , , , , , , , , ,5,1, , ,0, , , ,8,7,92701,2390,34,2,3,2.62832165502633996e+00,68,19,46,30,1,2,2,2,2,2,2,2,2,2, 2129,1,1,2,1,4,2,4,5,5,19,1,5, ,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,5,2,3,4
1,1,1,5,1,2,1,4,4,1,1,3,1,2,3, , , , , , , , , , , , , , , , ,5,5, , ,0, , ,1,1,1,94608,4419, 7,2,3,9.08597077592054103e-01,18,71,12, 1,1,3,2,3,3,3,1,1,1,1, 4280,1, ,1,1,4,1,4,5,5,71,1,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,1,2,1,5
1,1,2,4,1,1,1,4,3,1,2,1,2,2,1, , , , , , , , , , , , , , , , ,5,2, , ,1, ,1, ,6,5,90025,6009,28,2,3,9.96946665542810112e-02,51,31,36,19,1,1,1,1,1,1,1,1,1,1, 1998,1, ,1,1,4,1,4,4,4,31,1,8, , , , , , ,1, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,2,1,2,6
 , , , , , , , , , , , , , , ,2,2,5,1,5,1,1,3,3,3,1,3,3,1,1,1,5,6, , ,0, , ,1,2,2,93940,2532,17,1,2,6.78085532532302082e-01,30,81,19,27,1,1,1,1,1,1,1,1,1,1, 8131,1, ,1,1,4,1,4,4,5,81,2,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,1,2,1,4
 , , , , , , , , , , , , , , ,1,5,2,1,4,1,1,2,3,3,1,3,1,1,3,1,3,5, , ,1, , ,1,6,5,91335,4531,20,2,3,1.09545072054604997e+00,46,66,29,19,1,1,1,1,1,1,1,1,1,1, 1756,1, ,1,1,4,1,4,4,4,66,1,6,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,2,2,1,5
 , , , , , , , , , , , , , , ,1,2,2,1,4,1,3,1,4,3,2,2,3,3,3,1,4,4, , ,0, , ,1,5,4,92253,5228,19,2,2,1.50596827064163025e-01,47,54,41,33,1,2,2,2,2,2,2,1,1,1,13078,1, ,1,3,4,2,4,1,1,54,1,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,4, , ,3,1,2,1,6
4,1,4,2,2,3,1,2,2,4,3,2,2,1,1, , , , , , , , , , , , , , , , ,3,4, , ,0, , , ,1,1,95110,3565,15,2,3,4.94826146689189983e+00,25,57,18,43,1,1,1,2,1,3,3,1,3,3, 4978,1,1,2,3,1,4,2,5,5,57,1,3, ,1, , , , , , , ,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,3, , ,3,3,2,1,3
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,3, , ,0, , ,1,1,1,94558,4302, 3,1,2,3.98781986485338025e-01, 4,45, 4,28,1,2,1,2,1,2,1,1,2,1,13494,1, ,2,1,4,2,2,2,2,45,2,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,3, , ,1,3,2,2,6
5,5,5,5,1,1,1,1,4,1,4,1,2,1,1, , , , , , , , , , , , , , , , ,4,1, , ,0, , ,1,6,5,90601,3214,30,1,3,2.35553379006630009e-01,56,29,38,19,1,3,3,2,1,1,1,1,1,1,11907,1, ,2,1,4,3,5,5,5,30,2,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,2, , ,1,2,2,2
 , , , , , , , , , , , , , , ,1,2,2,4,1,3,1,3,3,1,3,1,1,3,1,2,3,5, , ,0, , ,1,5,4,92582,3211,31,2,2,2.76893976405063025e-01,60,67,25,33,1,1,1,1,1,1,1,1,1,1, 2843,1, ,1,4,1,4,2,5,5,68,1,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,2, ,1,2,1,5
5,2,2,5,1,3,4,3,3,1,1,3,2,3,1, , , , , , , , , , , , , , , , ,5,2, , ,0, , , ,6,5,90302,1586,35,1,3,2.37410723309765004e+00,61,33,43,19,1,2,2,2,1,2,1,1,1,3, 7875,1,2,1,1,4,1,5,5,2,33,2,5,1,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,2,2,2,7
5,1,1,4,1,1,2,1,4,1,1,1,2,4,1, , , , , , , , , , , , , , , , ,5,2, , ,0, ,1, ,3,3,95816,4398, 8,1,3,9.96946665542810112e-02, 6,36, 7,34,1,2,2,1,1,1,1,1,1,1, 1913,1, ,1,1,4,1,4,5,2,36,2,8,1, ,1, , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1, , ,1,2,1,7
4,4,4,1,3,2,3,2,2,3,3,2,3,1,2, , , , , , , , , , , , , , , , ,1,2, , ,0, , ,1,5,4,92227,7717,18,2,1,5.21529255216085064e-01,36,38,25,13,1,1,1,2,1,2,1,3,1,1, 3908,1, ,1,4,1,4,3,5,5,38,1,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,1, ,2,2,1,5
5,5,1,1,4,1,1,1,4,1,1,1,1,1,1, , , , , , , , , , , , , , , , ,1,2, , ,1, , , ,6,5,90011,3930,28,2,3,3.77819191336066007e+00,57,33,37,19,1,2,3,2,3,1,1,2,2,2,13320,1,1,1,1,1,4,1,5,5,34,1,4, ,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,1, ,2,1,1,5
 , , , , , , , , , , , , , , ,1,5,5,4,1,2,4,3,2,4,4,2,2,2,1,1,3,4, , ,0, , ,1,3,3,96073,9789, 1,2,1,8.70769491651609995e-01, 1,62, 1,45,1,1,1,1,1,1,1,1,1,1, 6749,1, ,1,4,2,4,2,5,5,62,1,6,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,2, ,1,2,1,7
3,1,1,4,1,1,3,2,3,1,1,4,1,1,3, , , , , , , , , , , , , , , , ,3,6, , ,0, , ,1,1,1,95126,2662,15,2,3,5.56275476167718996e-01,26,77,17,43,1,1,1,1,1,1,1,1,2,1,13545,1, ,2,1,4,2,4,5,5,77,1,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,2, , ,1,2,1,7
1,1,1,4,1,3,1,3,3,1,2,3,1,2,1, , , , , , , , , , , , , , , , ,5,1, , ,0, , ,1,3,3,95814,2044, 8,1,3,3.10134146914966047e-01, 6,28, 7,34,1,2,2,2,2,1,1,1,1,1, 8661,1, ,1,1,4,2,4,5,5,28,2,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,5,2,2,4
 , , , , , , , , , , , , , , ,1,5,5,1,5,1,3,1,2,1,1,1,3,1,2,1,5,5, , ,0, , ,1,3,3,95926,7799, 1,1,2,3.25265974132628033e-01, 3,70, 1, 4,1,2,1,1,1,1,1,1,1,1, 7552,1, ,1,1,4,1,4,1,5,71,2,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,4,2,1,3
5,5,5,5,4,4,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , ,4,2, , ,1, , , ,6,5,90025,5361,24,1,3,2.10318589564416014e-01,51,36,36,19,1,3,2,2,3,3,3,3,2,3, 8917,1,1,1,4,5,5,5,5,5,36,2,5,1, , , , , ,1, ,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,2, ,1,2,1,1
 , , , , , , , , , , , , , , ,1,5,5,1,5,1,1,4,1,4,1,2,3,1,1,2,4,5, , ,0, , ,1,6,5,91387,5603,23,1,2,3.71494796669461003e-01,40,69,27,19,1,2,2,2,1,3,1,1,1,1, 4771,1, ,1,3,4,1,5,5,5,70,2,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,3, , ,1,3,2,2,2
2,1,1,4,1,3,2,1,3,1,2,3,1,1,1, , , , , , , , , , , , , , , , ,3,5, , ,0, , ,1,5,4,92203,7485,18,2,2,7.34871196445196051e-01,36,68,25,33,1,2,1,1,1,1,1,1,1,1, 7555,1, ,1,4,4,1,4,4,4,68,1,5,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,1, ,1,2,1,4
